RTA,Somme,Nombre de donateurs,Moyenne
J8P,9745.0,114,85.48245614035088
J8R,13565.0,148,91.6554054054054
J8T,22895.0,271,84.48339483394834
J8V,20195.0,219,92.21461187214612
J8X,6860.0,74,92.70270270270271
J8Y,22711.0,256,88.71484375
J8Z,16915.0,179,94.49720670391062
J9A,32965.16,320,103.01612500000002
J9B,2450.0,30,81.66666666666667
J9E,1357.0,31,43.774193548387096
J9H,15980.0,174,91.83908045977012
J9J,9795.0,98,99.94897959183673
J9L,13926.64,170,81.92141176470588
J9P,19975.0,255,78.33333333333333
J9T,11664.0,155,75.2516129032258
J9V,1800.0,18,100.0
J9X,24725.0,283,87.36749116607774
J9Y,4380.0,53,82.64150943396227
J9Z,7722.0,106,72.84905660377359
