RTA,Year,Somme,Nombre de donateurs
G6K,2025,1310.0,18
G6K,2026,1000.0,9
G6L,2019,425.0,9
G6L,2020,165.0,5
G6L,2021,280.0,6
G6L,2022,1627.0,19
G6L,2023,540.0,11
G6L,2024,830.0,16
G6L,2025,1350.0,18
G6L,2026,865.0,11
G6P,2019,930.0,17
G6P,2020,1582.0,28
G6P,2021,1435.0,21
G6P,2022,5075.0,51
G6P,2023,2085.0,29
G6P,2024,2830.0,41
G6P,2025,4375.0,42
G6P,2026,1650.0,13
G6R,2020,60.0,2
G6R,2021,120.0,2
G6R,2022,200.0,3
G6R,2023,200.0,3
G6R,2024,270.0,4
G6R,2025,500.0,5
G6R,2026,170.0,3
G6S,2019,190.0,3
G6S,2020,240.0,5
G6S,2021,180.0,3
G6S,2022,700.0,6
G6S,2023,300.0,3
G6S,2024,265.0,4
G6S,2025,425.0,4
G6T,2019,50.0,1
G6T,2020,295.0,5
G6T,2021,450.0,7
G6T,2022,1125.0,9
G6T,2023,825.0,9
G6T,2024,1225.0,14
G6T,2025,1305.0,15
G6T,2026,425.0,4
G6V,2019,2095.0,40
G6V,2020,4000.0,54
G6V,2021,2145.0,30
G6V,2022,10500.0,108
G6V,2023,5005.0,73
G6V,2024,7405.0,95
G6V,2025,5715.0,75
G6V,2026,2990.0,28
G6W,2019,890.0,18
G6W,2020,1613.0,21
G6W,2021,1225.0,18
G6W,2022,5295.0,45
G6W,2023,2610.0,29
G6W,2024,4341.66,52
G6W,2025,3491.64,48
G6W,2026,1670.0,14
G6X,2019,1105.0,15
G6X,2020,1065.0,17
G6X,2021,655.0,10
G6X,2022,1815.0,15
G6X,2023,1100.0,11
G6X,2024,1725.0,20
G6X,2025,1500.0,18
G6X,2026,800.0,7
G6Y,2019,120.0,2
G6Y,2020,290.0,6
G6Y,2021,280.0,5
G6Y,2022,840.0,8
G6Y,2023,675.0,10
G6Y,2024,785.0,12
G6Y,2025,475.0,7
G6Y,2026,400.0,2
G6Z,2019,2040.0,36
G6Z,2020,2465.0,38
G6Z,2021,1810.0,24
G6Z,2022,4420.0,40
G6Z,2023,1445.0,18
G6Z,2024,2855.0,35
G6Z,2025,3070.0,37
G6Z,2026,2535.0,21
G7A,2019,2890.0,42
G7A,2020,4540.0,45
G7A,2021,1260.0,17
G7A,2022,3560.0,30
G7A,2023,1950.0,24
G7A,2024,4470.0,54
G7A,2025,4750.0,57
G7A,2026,3880.0,32
G7B,2019,1045.0,26
G7B,2020,2360.0,34
G7B,2021,1230.0,21
G7B,2022,3217.0,41
G7B,2023,1255.0,17
G7B,2024,1480.0,21
G7B,2025,1415.0,25
G7B,2026,555.0,9
G7G,2019,810.0,16
G7G,2020,3545.0,32
G7G,2021,685.0,10
G7G,2022,4067.0,37
G7G,2023,1745.0,24
G7G,2024,2100.0,26
G7G,2025,3130.0,36
G7G,2026,1000.0,8
G7H,2019,2880.0,47
G7H,2020,9902.0,77
G7H,2021,2550.0,41
G7H,2022,12673.3,113
G7H,2023,4825.0,63
G7H,2024,5650.0,74
G7H,2025,7345.0,75
G7H,2026,4000.0,36
G7J,2019,1720.0,14
G7J,2020,2305.0,25
G7J,2021,660.0,8
G7J,2022,2770.0,28
G7J,2023,880.0,13
G7J,2024,883.3,12
G7J,2025,1414.96,16
G7J,2026,1703.32,11
G7K,2019,25.0,1
G7K,2022,600.0,4
G7K,2024,225.0,3
G7K,2025,100.0,1
G7N,2019,935.0,8
